id,product,criterion,severity,status,summary,detail
F1,prototype,3.3.1,serious,fixed,Intake validation wrote errors to a hidden element,"Errors now show in a role=alert on the form, mark aria-invalid, and focus the first invalid field."
F2,prototype,4.1.3,serious,fixed,Loading and error status were not announced,"Boot, report and chat status use aria-live polite or role=alert."
F3,publication,1.3.1,serious,fixed,"Pages used a div instead of main, and skip/help were JavaScript-only","Publication pages now use main, a skip link, and a noscript menu with accessibility, privacy and contact links."
F4,prototype,2.4.1,serious,fixed,Skip to content included the assessment sidebar,"Skip target moves with the view: list, intake, or main pane."
F5,prototype,2.1.1,serious,remaining,The assessment cannot be completed without JavaScript,A noscript message explains this and links to the HTML framework. Starting an assessment still needs JavaScript. This is why the prototype is not signed off.
F6,prototype,1.3.5,moderate,fixed,Organisation and role inputs lacked autocomplete,"Fields now use autocomplete name, organization-title and organization."
F7,prototype,3.3.2,moderate,fixed,Required fields were not identified,Intake and profile state that fields are required. Hints are tied with aria-describedby.
F8,prototype,1.1.1,moderate,fixed,Radar chart had no text alternative for the scores,Chart is decorative. Broader skill levels are listed as text next to it.
F9,publication,3.2.6,moderate,fixed,"Contact was a placeholder, so consistent help was incomplete",Contact is training@theodi.org on publication and prototype contact pages.
F10,prototype,2.5.8,moderate,fixed,Some navigation targets were under 24px tall,Service navigation links and the Menu control now have a minimum 24px hit area (Menu 44px).
N4,prototype,2.4.11,low,remaining,Sticky wizard footer may obscure a focused field,Extra padding exists on the scroll area. Not retested with every keyboard path. Does not affect the signed-off publication.
N5,publication,1.4.11,low,accepted,Card and table borders use mid-grey at 2.08:1,Decorative only. Inputs use 2px black borders. Accepted for the publication sign-off.
