domain,cluster,strand,section_type,question,level,level_name,source,text
Digital,Foundational Digital Skills,Using digital tools effectively,skills,How would you rate your competence in using digital tools and software to complete everyday tasks?,1,Novice,source,"Follows instructions to use simple digital tools for everyday tasks such as logging in, finding basic information or joining an online meeting. Needs help when problems occur but shows curiosity and asks questions to learn."
Digital,Foundational Digital Skills,Using digital tools effectively,skills,How would you rate your competence in using digital tools and software to complete everyday tasks?,2,Awareness,source,Uses common digital tools with support to complete basic tasks such as editing a shared document or updating an online task list. Recognises how digital tools help teams stay connected and asks for help when unsure.
Digital,Foundational Digital Skills,Using digital tools effectively,skills,How would you rate your competence in using digital tools and software to complete everyday tasks?,3,Working,source,"Applies digital tools independently to complete routine tasks such as joining online meetings, sharing documents and tracking progress. Applies agreed ways of working and fixes simple issues to keep work running smoothly."
Digital,Foundational Digital Skills,Using digital tools effectively,skills,How would you rate your competence in using digital tools and software to complete everyday tasks?,4,Practitioner,source,"Organises and independently manages work across multiple digital tools and platforms. Sets up shared spaces, keeps information easy to find and models good online practice. Solves most everyday digital issues and supports colleagues."
Digital,Foundational Digital Skills,Using digital tools effectively,skills,How would you rate your competence in using digital tools and software to complete everyday tasks?,5,Expert,derived,"Leads on identifying how digital tools and platforms should be best used within the team. Designs simple, consistent ways of working online, promotes secure and inclusive use, and drives improvements that make work quicker and clearer."
Digital,Foundational Digital Skills,Using digital tools effectively,skills,"How would you rate your competence in managing and organising information and files so they are easy to find, appropriately shared and kept secure?",1,Novice,inferred,Follows instructions to save and find files in shared spaces but needs support to organise information or apply security settings.
Digital,Foundational Digital Skills,Using digital tools effectively,skills,"How would you rate your competence in managing and organising information and files so they are easy to find, appropriately shared and kept secure?",2,Awareness,derived,"Uses basic file management steps with guidance - saves documents in the right place, follows naming conventions and checks sharing permissions before sending."
Digital,Foundational Digital Skills,Using digital tools effectively,skills,"How would you rate your competence in managing and organising information and files so they are easy to find, appropriately shared and kept secure?",3,Working,derived,Keeps information well-organised and easy to find across shared spaces. Applies agreed security and sharing practices consistently and helps colleagues do the same.
Digital,Foundational Digital Skills,Using digital tools effectively,skills,"How would you rate your competence in managing and organising information and files so they are easy to find, appropriately shared and kept secure?",4,Practitioner,derived,Reviews and improves how information is organised and shared across a team. Identifies risks and inconsistencies and puts in place clearer structures or guidance.
Digital,Foundational Digital Skills,Using digital tools effectively,skills,"How would you rate your competence in managing and organising information and files so they are easy to find, appropriately shared and kept secure?",5,Expert,inferred,"Sets standards for how information is managed, organised and secured across teams. Ensures practices are consistent, secure and easy for everyone to follow."
Digital,Foundational Digital Skills,Choosing the right digital tools,skills,How would you rate your competence in deciding which tool or method best fits the task at hand?,1,Novice,inferred,Follows instructions about which tool to use for a task but needs support to understand why one option might suit better than another.
Digital,Foundational Digital Skills,Choosing the right digital tools,skills,How would you rate your competence in deciding which tool or method best fits the task at hand?,2,Awareness,derived,"Recognises that different tools suit different purposes and asks for guidance when unsure which to use. Begins to make simple choices independently, such as whether to email a document or share it in a collaborative space."
Digital,Foundational Digital Skills,Choosing the right digital tools,skills,How would you rate your competence in deciding which tool or method best fits the task at hand?,3,Working,derived,"Makes routine tool choices independently and with confidence - selecting the right platform, format or method for the task. Explains choices simply to colleagues and adapts when a chosen tool isn't working well."
Digital,Foundational Digital Skills,Choosing the right digital tools,skills,How would you rate your competence in deciding which tool or method best fits the task at hand?,4,Practitioner,derived,"Helps teams develop consistent, well-reasoned approaches to tool selection. Contributes to more formal requirements-gathering and advises colleagues on choices that balance user needs, security and organisational standards."
Digital,Foundational Digital Skills,Choosing the right digital tools,skills,How would you rate your competence in deciding which tool or method best fits the task at hand?,5,Expert,derived,"Sets team standards for tool selection and promotes evidence-based, consistent practice. Contributes to procurement and organisational buying decisions, ensuring choices reflect user needs, value for money and long-term fit."
Digital,Foundational Digital Skills,Creating accessible digital content,knowledge,"How would you rate your understanding of accessibility standards and legal requirements for digital content, and what they mean in practice?",1,Novice,inferred,Has little knowledge of accessibility standards or legal requirements but begins to notice when content might be hard for some people to use and shows curiosity about how to improve it.
Digital,Foundational Digital Skills,Creating accessible digital content,knowledge,"How would you rate your understanding of accessibility standards and legal requirements for digital content, and what they mean in practice?",2,Awareness,source,"Understands what accessibility standards are, why they exist and what the key legal requirements mean for everyday content creation."
Digital,Foundational Digital Skills,Creating accessible digital content,knowledge,"How would you rate your understanding of accessibility standards and legal requirements for digital content, and what they mean in practice?",3,Working,derived,"Understands core accessibility principles and methods, including how standards apply across different content types, formats and platforms."
Digital,Foundational Digital Skills,Creating accessible digital content,knowledge,"How would you rate your understanding of accessibility standards and legal requirements for digital content, and what they mean in practice?",4,Practitioner,derived,"Has detailed knowledge of accessibility standards and legal requirements, including how they apply across varied tools, platforms and user needs."
Digital,Foundational Digital Skills,Creating accessible digital content,knowledge,"How would you rate your understanding of accessibility standards and legal requirements for digital content, and what they mean in practice?",5,Expert,inferred,"Holds authoritative knowledge of accessibility standards, legal frameworks and emerging good practice, and understands their strategic implications for organisations."
Digital,Foundational Digital Skills,Creating accessible digital content,skills,How would you rate your competence in creating and checking digital content so it meets accessibility standards and works for people with different needs?,1,Novice,source,Follows clear instructions to create or edit simple digital content. Begins to notice when something might be hard to read or use and asks questions about how to make it easier.
Digital,Foundational Digital Skills,Creating accessible digital content,skills,How would you rate your competence in creating and checking digital content so it meets accessibility standards and works for people with different needs?,2,Awareness,source,"Uses basic accessibility steps with guidance such as adding alt text, using clear headings or checking colour contrast. Seeks help when unsure how to meet accessibility requirements."
Digital,Foundational Digital Skills,Creating accessible digital content,skills,How would you rate your competence in creating and checking digital content so it meets accessibility standards and works for people with different needs?,3,Working,source,"Applies accessibility principles in routine work, creating and editing content that meets departmental standards. Uses clear language, structured layouts and accessible formats. Makes simple improvements when issues are found."
Digital,Foundational Digital Skills,Creating accessible digital content,skills,How would you rate your competence in creating and checking digital content so it meets accessibility standards and works for people with different needs?,4,Practitioner,source,"Plans and delivers digital content that meets accessibility standards across different tools and platforms. Considers varied user needs, devices and assistive technologies when designing or reviewing content."
Digital,Foundational Digital Skills,Creating accessible digital content,skills,How would you rate your competence in creating and checking digital content so it meets accessibility standards and works for people with different needs?,5,Expert,source,"Leads accessible digital practice within individual teams. Sets and maintains best-practice efforts including training, ensures all content meets legal requirements, and reviews major projects for compliance and quality."
Digital,Foundational Digital Skills,Creating accessible digital content,behaviours,"How would you rate your competence in supporting good accessibility practice beyond your own work - whether by modelling it, helping colleagues or flagging where standards aren't being met?",1,Novice,inferred,Begins to notice when colleagues produce content that might not work for everyone and asks questions about how to raise it.
Digital,Foundational Digital Skills,Creating accessible digital content,behaviours,"How would you rate your competence in supporting good accessibility practice beyond your own work - whether by modelling it, helping colleagues or flagging where standards aren't being met?",2,Awareness,derived,Raises observations about accessibility in team discussions and shares simple tips or guidance with colleagues when opportunities arise.
Digital,Foundational Digital Skills,Creating accessible digital content,behaviours,"How would you rate your competence in supporting good accessibility practice beyond your own work - whether by modelling it, helping colleagues or flagging where standards aren't being met?",3,Working,derived,"Actively supports colleagues to meet accessibility standards. Shares examples of good practice, flags issues constructively and helps others understand why accessibility matters."
Digital,Foundational Digital Skills,Creating accessible digital content,behaviours,"How would you rate your competence in supporting good accessibility practice beyond your own work - whether by modelling it, helping colleagues or flagging where standards aren't being met?",4,Practitioner,derived,"Leads on embedding accessible content practice across projects. Coaches colleagues, reviews others' work for accessibility and makes the case for prioritising it when it is deprioritised under delivery pressure."
Digital,Foundational Digital Skills,Creating accessible digital content,behaviours,"How would you rate your competence in supporting good accessibility practice beyond your own work - whether by modelling it, helping colleagues or flagging where standards aren't being met?",5,Expert,source,"Promotes a culture where accessibility is a default expectation. Ensures it is built into training, ways of working and major decisions, and holds teams accountable for meeting legal standards."
Digital,Responsible Information Practices,Handling information accurately and responsibly,skills,"How would you rate your competence in checking that the information you work with and share is accurate, current and from a reliable source?",1,Novice,source,Follows instructions to check simple information such as confirming where it came from or when it was last updated. Begins to notice when something looks wrong or out of date and asks for help to correct it.
Digital,Responsible Information Practices,Handling information accurately and responsibly,skills,"How would you rate your competence in checking that the information you work with and share is accurate, current and from a reliable source?",2,Awareness,source,"Uses basic checks to confirm that information is accurate and current, such as checking the source, looking for a version number or asking whether guidance has been updated. Recognises when information looks unreliable and reports it to others."
Digital,Responsible Information Practices,Handling information accurately and responsibly,skills,"How would you rate your competence in checking that the information you work with and share is accurate, current and from a reliable source?",3,Working,source,"Applies routine checks to keep information accurate and trustworthy. Verifies sources, identifies the authoritative version, corrects errors within their area of work and flags issues when information looks inconsistent or out of date."
Digital,Responsible Information Practices,Handling information accurately and responsibly,skills,"How would you rate your competence in checking that the information you work with and share is accurate, current and from a reliable source?",4,Practitioner,derived,"Reviews how information is sourced, verified and maintained across projects. Identifies patterns of inaccuracy or unreliability, makes improvements and coaches colleagues to apply consistent checks. Ensures information used in decisions is traceable and well evidenced."
Digital,Responsible Information Practices,Handling information accurately and responsibly,skills,"How would you rate your competence in checking that the information you work with and share is accurate, current and from a reliable source?",5,Expert,inferred,"Sets standards for how information accuracy and reliability are maintained across teams. Ensures version control, provenance and currency are built into ways of working. Reviews major work to confirm information is well governed and promotes a culture of critical, evidence-based information use."
Digital,Responsible Information Practices,Handling information accurately and responsibly,skills,"How would you rate your competence in organising, classifying and managing information and files so they are easy to find, appropriately protected and correctly disposed of when no longer needed?",1,Novice,inferred,Follows instructions to save files in the right place and begins to notice why organising information carefully matters. Needs support to understand classification or access settings.
Digital,Responsible Information Practices,Handling information accurately and responsibly,skills,"How would you rate your competence in organising, classifying and managing information and files so they are easy to find, appropriately protected and correctly disposed of when no longer needed?",2,Awareness,derived,"Saves documents in agreed locations, follows basic naming conventions and applies simple access or security settings with guidance. Understands that different information needs different levels of protection and asks for help when unsure."
Digital,Responsible Information Practices,Handling information accurately and responsibly,skills,"How would you rate your competence in organising, classifying and managing information and files so they are easy to find, appropriately protected and correctly disposed of when no longer needed?",3,Working,derived,"Organises and maintains files and shared spaces so information is easy to find and consistently structured. Applies correct classification and access controls, follows agreed retention and disposal processes and helps colleagues do the same."
Digital,Responsible Information Practices,Handling information accurately and responsibly,skills,"How would you rate your competence in organising, classifying and managing information and files so they are easy to find, appropriately protected and correctly disposed of when no longer needed?",4,Practitioner,derived,"Reviews and improves how information is organised, classified and managed across projects. Identifies risks such as incorrect classification, oversharing or information being retained longer than necessary. Coaches colleagues and ensures practices meet organisational standards."
Digital,Responsible Information Practices,Handling information accurately and responsibly,skills,"How would you rate your competence in organising, classifying and managing information and files so they are easy to find, appropriately protected and correctly disposed of when no longer needed?",5,Expert,inferred,"Sets standards for how information is organised, classified, protected and disposed of across teams. Ensures classification, access control and retention policies are practical, consistently applied and built into team ways of working. Reviews major work to confirm information is well governed throughout its lifecycle."
Digital,Digital Transformation,Focusing on users,knowledge,How would you rate your understanding of user-centred principles and why understanding user needs matters for the work you do?,1,Novice,inferred,Has little knowledge of user-centred principles but begins to notice when something is hard to use and shows curiosity about why that matters.
Digital,Digital Transformation,Focusing on users,knowledge,How would you rate your understanding of user-centred principles and why understanding user needs matters for the work you do?,2,Awareness,source,"Understands the basic idea that services should be designed around the needs of the people who use them, and can explain why this leads to better outcomes."
Digital,Digital Transformation,Focusing on users,knowledge,How would you rate your understanding of user-centred principles and why understanding user needs matters for the work you do?,3,Working,derived,"Understands core user-centred principles and methods, including how research and testing feed into design and delivery decisions."
Digital,Digital Transformation,Focusing on users,knowledge,How would you rate your understanding of user-centred principles and why understanding user needs matters for the work you do?,4,Practitioner,derived,"Has detailed understanding of user-centred practice, including how to apply it across complex or multi-team projects and how to make the case for it to others."
Digital,Digital Transformation,Focusing on users,knowledge,How would you rate your understanding of user-centred principles and why understanding user needs matters for the work you do?,5,Expert,inferred,"Holds authoritative knowledge of user-centred principles and their strategic value, including how they connect to policy, delivery and public trust."
Digital,Digital Transformation,Focusing on users,skills,How would you rate your competence in finding out what users need - and using that insight to improve your work or processes?,1,Novice,source,Follows instructions to help gather simple feedback or observations but needs support to understand what to do with them.
Digital,Digital Transformation,Focusing on users,skills,How would you rate your competence in finding out what users need - and using that insight to improve your work or processes?,2,Awareness,source,Helps collect feedback and takes part in simple research or testing activities. Shares observations with colleagues and recognises patterns in what users find difficult.
Digital,Digital Transformation,Focusing on users,skills,How would you rate your competence in finding out what users need - and using that insight to improve your work or processes?,3,Working,source,Applies straightforward methods to gather and interpret user feedback. Shares insights with design or delivery colleagues and contributes to decisions about how to improve services.
Digital,Digital Transformation,Focusing on users,skills,How would you rate your competence in finding out what users need - and using that insight to improve your work or processes?,4,Practitioner,source,"Plans and runs research and testing activities, ensuring findings inform design and delivery. Coaches colleagues to apply user-centred methods consistently across projects."
Digital,Digital Transformation,Focusing on users,skills,How would you rate your competence in finding out what users need - and using that insight to improve your work or processes?,5,Expert,source,"Ensures research, testing and feedback are embedded in design and delivery processes across teams. Works with leaders to sustain a culture of continuous improvement in user experience."
Digital,Digital Transformation,Focusing on users,behaviours,How would you rate your ability to keep user needs in view when other priorities or pressures are pulling in a different direction?,1,Novice,inferred,Begins to notice when something doesn't seem to work well for users and asks questions about why decisions were made that way.
